,city,lat,long,temp,humidity,wind,cloudiness,country,date
387,nortelandia,-14.45,-56.8,74.3,81,3.29,55,BR,1586558808
388,kanker,20.27,81.49,75.74,24,2.26,9,IN,1586558808
389,magaria,13.0,8.91,85.26,12,8.34,100,NE,1586558808
390,mont-dore,-22.28,166.58,79.0,54,3.36,20,NC,1586558808
391,yatou,37.15,122.38,46.85,63,8.1,100,CN,1586558672
392,balaipungut,1.05,101.28,80.6,88,1.45,40,ID,1586558809
393,mount gambier,-37.83,140.77,55.4,62,20.8,75,AU,1586558809
394,buchanan,5.88,-10.05,79.47,85,3.89,20,LR,1586558809
395,palu,-0.89,119.87,82.11,69,0.63,2,ID,1586558809
396,tehri,30.38,78.48,61.63,33,6.35,0,IN,1586558809
397,naron,43.52,-8.15,57.99,100,1.12,75,ES,1586558811
398,palana,59.12,159.97,15.91,91,2.01,18,RU,1586558811
399,mpika,-11.83,31.45,59.7,64,8.01,6,ZM,1586558811
400,bartica,6.4,-58.62,82.4,74,9.17,20,GY,1586558811
401,sinnamary,5.38,-52.95,79.77,81,12.68,96,GF,1586558811
402,silivri,41.08,28.23,50.0,57,5.82,1,TR,1586558811
403,cehegin,38.09,-1.8,55.0,92,2.17,49,ES,1586558812
404,chicama,-7.84,-79.15,75.9,70,7.05,65,PE,1586558812
405,taltal,-25.4,-70.48,62.65,78,3.13,11,CL,1586558664
406,carballo,43.21,-8.69,57.0,100,1.12,75,ES,1586558812
407,egvekinot,66.32,-179.17,10.62,85,3.06,0,RU,1586558812
408,prado,-17.34,-39.22,77.11,88,11.43,76,BR,1586558812
409,sosnovo-ozerskoye,52.52,111.54,42.49,39,1.68,0,RU,1586558812
410,belaya gora,68.53,146.42,30.2,94,12.64,89,RU,1586558813
411,bereda,43.27,-7.54,57.99,100,1.12,75,ES,1586558813
412,pacific grove,36.62,-121.92,68.0,67,12.75,1,US,1586558813
413,tutoia,-2.76,-42.27,80.26,85,8.1,92,BR,1586558813
414,faya,18.39,42.45,68.0,68,5.82,87,SA,1586558813
415,magadan,59.57,150.8,21.33,93,6.04,22,RU,1586558535
416,kamenka,51.32,42.77,48.99,54,5.01,96,RU,1586558554
417,kirkenaer,60.46,12.06,32.0,77,3.36,0,NO,1586558813
418,plouzane,48.38,-4.62,59.0,81,4.7,0,FR,1586558815
419,dunedin,-45.87,170.5,59.0,73,2.24,0,NZ,1586558815
420,touros,-5.2,-35.46,80.6,83,5.82,20,BR,1586558560
421,maunabo,18.01,-65.9,84.2,70,10.29,1,PR,1586558815
422,isla mujeres,21.23,-86.73,86.0,70,14.99,40,MX,1586558815
423,tabuk,17.42,121.44,77.99,71,1.12,36,PH,1586558816
424,dafeng,23.45,108.59,71.71,85,4.92,99,CN,1586558816
425,saldanha,-33.01,17.94,60.8,87,2.24,47,ZA,1586558816
426,palmer,42.16,-72.33,46.0,79,16.11,90,US,1586558816
427,male,4.17,73.51,83.84,68,1.68,3,MV,1586558816
428,dukat,62.55,155.55,11.14,86,7.05,0,RU,1586558816
429,manggar,-2.88,108.27,81.3,79,6.31,81,ID,1586558816
430,qui nhon,13.77,109.23,79.21,79,2.04,97,VN,1586558816
431,san andres,12.58,-81.7,84.2,74,10.29,40,CO,1586558816
432,port hedland,-20.32,118.57,71.6,88,5.82,0,AU,1586558816
433,amga,60.9,131.96,36.03,77,14.25,59,RU,1586558817
434,kindu,-2.95,25.95,71.8,84,1.72,88,CD,1586558817
435,morant bay,17.88,-76.41,84.2,79,6.93,20,JM,1586558817
436,karratha,-20.74,116.85,83.64,52,7.31,14,AU,1586558817
437,utete,-7.99,38.76,72.05,96,3.51,70,TZ,1586558817
438,porto belo,-27.16,-48.55,69.01,64,8.05,40,BR,1586558817
439,tabas,33.6,56.92,69.35,44,21.34,100,IR,1586558817
440,kailua,21.4,-157.74,82.4,54,9.17,90,US,1586558521
441,eyl,7.98,49.82,81.18,70,8.37,26,SO,1586558817
442,domodossola,46.12,8.29,60.01,66,2.55,0,IT,1586558817
443,isla vista,34.41,-119.86,66.2,67,8.05,40,US,1586558818
444,colares,38.8,-9.45,60.01,87,10.29,20,PT,1586558725
445,eidfjord,60.47,7.07,34.97,78,2.06,44,NO,1586558818
446,weyburn,49.67,-103.85,52.0,47,15.99,97,CA,1586558534
447,meulaboh,4.14,96.13,78.49,82,4.21,90,ID,1586558818
448,cururupu,-1.83,-44.87,78.76,89,5.73,69,BR,1586558818
449,vasai,19.47,72.8,82.4,78,5.82,40,IN,1586558808
450,laibin,23.7,109.27,71.04,86,6.51,97,CN,1586558818
451,bowen,-20.02,148.23,81.0,88,2.35,70,AU,1586558818
452,eirunepe,-6.66,-69.87,76.01,92,1.81,100,BR,1586558819
453,necochea,-38.55,-58.74,57.99,84,5.99,0,AR,1586558819
454,pinhao,-25.7,-51.66,49.95,60,1.66,12,BR,1586558819
455,akhisar,38.92,27.84,48.22,49,4.41,0,TR,1586558707
456,diego de almagro,-26.37,-70.05,58.08,56,0.51,1,CL,1586558819
457,sibolga,1.74,98.78,76.82,80,3.06,81,ID,1586558819
458,santa cruz de tenerife,28.47,-16.25,72.0,87,19.46,90,ES,1586558793
459,waingapu,-9.66,120.26,81.93,71,6.08,74,ID,1586558819
460,rafai,4.95,23.92,70.54,78,2.28,49,CF,1586558819
461,neiafu,-18.65,-173.98,77.79,65,7.63,30,TO,1586558820
462,soe,-9.86,124.28,70.03,77,2.55,36,ID,1586558820
463,jumla,29.27,82.18,42.28,24,5.1,69,NP,1586558820
464,constitucion,-35.33,-72.42,54.14,86,9.04,30,CL,1586558820
465,port-cartier,50.03,-66.87,34.0,89,4.7,90,CA,1586558820
466,melilla,35.29,-2.94,60.8,82,4.7,20,ES,1586558820
467,lorengau,-2.02,147.27,84.51,69,3.71,90,PG,1586558820
468,likasi,-10.98,26.73,60.87,65,4.43,93,CD,1586558820
469,kushnarenkovo,55.1,55.35,37.4,47,4.47,58,RU,1586558821
470,dicabisagan,17.08,122.42,78.42,78,4.16,85,PH,1586558821
471,sanda,34.88,135.23,50.0,81,2.24,40,JP,1586558821
472,iqaluit,63.75,-68.51,14.0,72,2.24,40,CA,1586558821
473,ilulissat,69.22,-51.1,30.2,63,4.7,10,GL,1586558821
474,oranjemund,-28.55,16.43,55.45,84,3.49,11,NA,1586558821
475,kargopol,61.51,38.95,22.21,94,2.17,10,RU,1586558821
476,jarocin,51.97,17.5,46.0,52,5.82,97,PL,1586558821
477,buzmeyin,38.05,58.21,48.2,81,2.24,75,TM,1586558821
478,margate,51.38,1.39,57.99,93,13.87,46,GB,1586558822
479,rio grande,-32.03,-52.1,63.91,80,10.36,0,BR,1586558550
480,puteyets,65.17,57.09,20.52,97,12.95,100,RU,1586558822
481,sunbury,-37.58,144.73,57.0,81,14.99,75,AU,1586558822
482,jalu,29.03,21.55,57.02,60,9.66,1,LY,1586558822
483,atlantic city,39.36,-74.42,50.0,36,23.04,90,US,1586558822
484,westport,41.14,-73.36,48.0,48,10.29,90,US,1586558822
485,bonavista,48.65,-53.11,37.0,83,4.0,98,CA,1586558822
486,port hardy,50.7,-127.42,51.8,76,12.75,75,CA,1586558822
487,fort nelson,58.81,-122.7,32.0,76,14.99,75,CA,1586558584
488,santona,43.44,-3.46,60.8,100,1.12,90,ES,1586558823
489,guerrero negro,27.98,-114.06,63.73,60,18.86,7,MX,1586558766
490,xining,36.62,101.77,34.25,28,2.21,0,CN,1586558823
491,ditrau,46.82,25.52,39.99,71,3.51,49,RO,1586558823
492,atbasar,51.8,68.33,35.56,76,3.6,15,KZ,1586558823
493,pocone,-16.26,-56.62,74.84,73,1.61,47,BR,1586558823
494,sri aman,1.24,111.46,75.2,100,0.58,100,MY,1586558824
495,loa janan,-0.58,117.09,79.5,80,4.18,21,ID,1586558824
496,gat,31.61,34.76,57.2,87,8.05,75,IL,1586558824
497,colomi,-17.35,-65.87,77.0,31,4.7,20,BO,1586558824
498,siocon,7.71,122.14,81.54,72,8.28,35,PH,1586558825
499,mahibadhoo,3.78,72.97,83.84,68,1.7,11,MV,1586558825
500,insar,53.87,44.37,39.63,88,11.77,100,RU,1586558825
501,kaeo,-35.1,173.78,66.99,73,4.0,3,NZ,1586558825
502,yermakovskoye,53.28,92.4,31.69,83,1.95,0,RU,1586558825
503,puerto montt,-41.47,-72.94,53.6,100,2.24,90,CL,1586558825
504,camocim,-2.9,-40.84,77.76,90,5.82,100,BR,1586558825
505,turukhansk,65.82,87.98,29.16,98,16.28,100,RU,1586558825
506,rakovnik,50.1,13.73,51.01,61,1.12,79,CZ,1586558825
507,oum hadjer,13.3,19.7,86.43,12,10.69,87,TD,1586558826
508,mareeba,-17.0,145.43,80.01,83,1.12,75,AU,1586558826
509,cockburn town,21.46,-71.14,79.02,71,2.59,0,TC,1586558543
510,chato,-2.64,31.77,67.15,63,7.16,39,TZ,1586558826
511,chama,47.18,8.46,54.0,66,2.55,0,CH,1586558826
512,san ignacio,17.16,-89.07,102.2,37,6.93,20,BZ,1586558826
513,dehloran,32.69,47.27,68.83,33,5.17,23,IR,1586558826
514,nhulunbuy,-12.23,136.77,78.8,88,5.82,75,AU,1586558826
515,haines junction,60.75,-137.51,29.37,71,4.05,0,CA,1586558827
516,zhangjiakou,40.81,114.88,43.66,35,12.17,0,CN,1586558827
517,mamallapuram,12.63,80.17,84.0,83,4.5,40,IN,1586558827
518,puerto penasco,31.32,-113.53,67.51,47,11.05,11,MX,1586558540
519,poieni,46.92,22.9,46.4,52,9.17,33,RO,1586558827
520,dongsheng,39.82,109.98,36.25,36,8.14,0,CN,1586558827
521,vilyuysk,63.76,121.62,29.35,95,9.08,2,RU,1586558827
522,aguilas,37.41,-1.58,55.0,77,3.62,3,ES,1586558581
523,houlton,46.13,-67.84,30.2,86,18.34,90,US,1586558828
524,tuy hoa,13.08,109.3,78.44,80,2.46,74,VN,1586558828
525,pierre,44.37,-100.35,61.0,25,3.36,1,US,1586558584
526,tagusao,9.19,117.81,83.37,67,4.03,34,PH,1586558828
527,saint-augustin,51.23,-58.65,29.1,97,25.12,100,CA,1586558828
528,gallup,35.53,-108.74,64.4,10,16.11,20,US,1586558828
529,airth,56.07,-3.77,54.0,100,1.12,100,GB,1586558829
530,berlevag,70.86,29.09,26.98,89,21.34,100,NO,1586558829
531,yaring,6.87,101.37,79.21,78,9.08,10,TH,1586558829
532,batagay,67.63,134.63,31.21,86,6.76,56,RU,1586558539
533,christchurch,-43.53,172.63,61.0,77,13.87,1,NZ,1586558787
534,rawson,-43.3,-65.1,72.27,40,18.77,61,AR,1586558829
535,nata,8.33,-80.52,82.0,38,3.0,33,PA,1586558829
536,chuncheng,22.17,111.79,75.99,70,0.6,93,CN,1586558829
537,nanyang,32.99,112.53,45.18,78,6.17,42,CN,1586558829
538,goreloye,52.94,41.5,40.86,78,6.64,100,RU,1586558829
539,canakkale,40.08,26.83,45.41,65,0.96,0,TR,1586558830
540,sao jose da coroa grande,-8.9,-35.15,81.45,80,9.13,11,BR,1586558830
541,yazykovo,55.22,56.14,35.42,75,11.59,23,RU,1586558830
542,kangaatsiaq,68.31,-53.46,32.0,91,11.39,34,GL,1586558830
543,norman wells,65.28,-126.83,30.2,42,10.29,20,CA,1586558830
544,rundu,-17.93,19.77,68.0,88,4.7,57,NA,1586558830
545,keene,42.93,-72.28,44.01,65,12.75,90,US,1586558830
546,kysyl-syr,63.9,122.76,28.42,95,8.37,0,RU,1586558830
547,hami,42.8,93.45,53.37,23,3.0,73,CN,1586558830
548,itarema,-2.92,-39.92,79.3,85,5.68,100,BR,1586558830
549,leh,34.17,77.58,25.95,22,2.35,9,IN,1586558830
550,chalmette,29.94,-89.96,73.99,40,8.05,1,US,1586558831
551,boca do acre,-8.75,-67.4,75.87,90,1.07,69,BR,1586558831
552,shanghai,31.22,121.46,60.01,87,6.71,75,CN,1586558623
553,nishihara,26.18,127.76,68.0,72,5.82,40,JP,1586558831
554,ruteng,-8.61,120.47,69.4,63,0.92,97,ID,1586558831
555,rehti,22.73,77.43,79.21,18,7.05,3,IN,1586558831
556,praia,14.92,-23.51,77.0,57,18.34,17,CV,1586558831
557,zholymbet,51.74,71.71,35.19,74,6.93,2,KZ,1586558832
558,tezu,27.92,96.17,69.13,32,3.33,0,IN,1586558832
559,ornskoldsvik,63.29,18.72,33.8,59,13.87,0,SE,1586558832
560,walvis bay,-22.96,14.51,63.0,85,1.99,3,NA,1586558832
561,cap malheureux,-19.98,57.61,79.0,78,13.87,40,MU,1586558832
562,san juan,-31.54,-68.54,71.83,33,2.39,0,AR,1586558832
563,luau,-10.71,22.22,66.04,69,3.67,100,AO,1586558832
564,chimbote,-9.09,-78.58,73.99,78,9.48,20,PE,1586558599
565,makat,47.65,53.35,42.46,64,10.29,7,KZ,1586558832
566,petropavlovsk-kamchatskiy,53.05,158.65,32.0,94,2.24,38,RU,1586558770
567,pirovskoye,57.63,92.27,30.6,91,6.69,50,RU,1586558832
568,isetskoye,56.49,65.32,37.44,86,7.25,1,RU,1586558833
569,agadez,19.75,10.25,76.05,16,4.9,84,NE,1586558833
570,pemangkat,1.17,108.97,78.1,83,4.45,100,ID,1586558833
